person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,age_group,loan_amnt_group,income_group,loan_to_income,loan_to_emp_length_ratio,int_rate_to loan_amnt_ratio
21,9600,OWN,5.0,EDUCATION,1000,11.14,0,0.1,N,2,18-30,small,low,0.10416666666666667,0.005,0.01114
25,9600,MORTGAGE,1.0,MEDICAL,5500,12.87,1,0.57,N,3,18-30,medium,low,0.5729166666666666,0.0001818181818181818,0.00234
23,65500,RENT,4.0,MEDICAL,35000,15.23,1,0.53,N,2,18-30,very large,middle,0.5343511450381679,0.00011428571428571428,0.00043514285714285714
24,54400,RENT,8.0,MEDICAL,35000,14.27,1,0.55,Y,4,18-30,very large,middle,0.6433823529411765,0.00022857142857142857,0.0004077142857142857
21,9900,OWN,2.0,VENTURE,2500,7.14,1,0.25,N,2,18-30,small,low,0.25252525252525254,0.0008,0.002856
26,77100,RENT,8.0,EDUCATION,35000,12.42,1,0.45,N,3,18-30,very large,middle,0.45395590142671854,0.00022857142857142857,0.00035485714285714287
24,78956,RENT,5.0,MEDICAL,35000,11.11,1,0.44,N,4,18-30,very large,middle,0.44328486752115104,0.00014285714285714287,0.0003174285714285714
24,83000,RENT,8.0,PERSONAL,35000,8.9,1,0.42,N,2,18-30,very large,middle,0.42168674698795183,0.00022857142857142857,0.00025428571428571427
21,10000,OWN,6.0,VENTURE,1600,14.74,1,0.16,N,3,18-30,small,low,0.16,0.00375,0.0092125
22,85000,RENT,6.0,VENTURE,35000,10.37,1,0.41,N,4,18-30,very large,middle,0.4117647058823529,0.00017142857142857143,0.00029628571428571426
21,10000,OWN,2.0,HOMEIMPROVEMENT,4500,8.63,1,0.45,N,2,18-30,small,low,0.45,0.00044444444444444447,0.001917777777777778
23,95000,RENT,2.0,VENTURE,35000,7.9,1,0.37,N,2,18-30,very large,middle,0.3684210526315789,5.714285714285714e-05,0.00022571428571428571
26,108160,RENT,4.0,EDUCATION,35000,18.39,1,0.32,N,4,18-30,very large,high-middle,0.323594674556213,0.00011428571428571428,0.0005254285714285714
23,115000,RENT,2.0,EDUCATION,35000,7.9,0,0.3,N,4,18-30,very large,high-middle,0.30434782608695654,5.714285714285714e-05,0.00022571428571428571
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,30000,10.65,0,0.06,N,3,18-30,very large,high,0.06,0.00023333333333333333,0.000355
23,120000,RENT,0.0,EDUCATION,35000,7.9,0,0.29,N,4,18-30,very large,high-middle,0.2916666666666667,0.0,0.00022571428571428571
23,92111,RENT,7.0,MEDICAL,35000,20.25,1,0.32,N,4,18-30,very large,middle,0.3799763329026935,0.0002,0.0005785714285714286
23,113000,RENT,8.0,DEBTCONSOLIDATION,35000,18.25,1,0.31,N,4,18-30,very large,high-middle,0.30973451327433627,0.00022857142857142857,0.0005214285714285714
24,10800,MORTGAGE,8.0,EDUCATION,1750,10.99,1,0.16,N,2,18-30,small,low,0.16203703703703703,0.004571428571428572,0.00628
25,162500,RENT,2.0,VENTURE,35000,7.49,0,0.22,N,4,18-30,very large,high-middle,0.2153846153846154,5.714285714285714e-05,0.000214
25,137000,RENT,9.0,PERSONAL,34800,16.77,0,0.25,Y,2,18-30,very large,high-middle,0.25401459854014596,0.0002586206896551724,0.00048189655172413794
22,65000,RENT,4.0,EDUCATION,34000,17.58,1,0.52,N,4,18-30,very large,middle,0.5230769230769231,0.00011764705882352942,0.0005170588235294117
24,10980,OWN,0.0,PERSONAL,1500,7.29,0,0.14,N,3,18-30,small,low,0.1366120218579235,0.0,0.00486
22,80000,RENT,3.0,PERSONAL,33950,14.54,1,0.42,Y,4,18-30,very large,middle,0.424375,8.836524300441826e-05,0.0004282768777614138
24,67746,RENT,8.0,HOMEIMPROVEMENT,33000,12.68,1,0.49,N,3,18-30,very large,middle,0.4871136303250376,0.00024242424242424242,0.00038424242424242426
21,11000,MORTGAGE,3.0,VENTURE,4575,17.74,1,0.42,Y,3,18-30,small,low,0.4159090909090909,0.0006557377049180328,0.0038775956284153
23,11000,OWN,0.0,PERSONAL,1400,9.32,0,0.13,N,3,18-30,small,low,0.12727272727272726,0.0,0.006657142857142857
24,65000,RENT,6.0,HOMEIMPROVEMENT,32500,9.99,1,0.5,N,3,18-30,very large,middle,0.5,0.0001846153846153846,0.0003073846153846154
21,11389,OTHER,5.0,EDUCATION,4000,12.84,1,0.35,Y,2,18-30,small,low,0.3512160856967249,0.00125,0.00321
21,11520,OWN,5.0,MEDICAL,2000,11.12,1,0.17,N,3,18-30,small,low,0.1736111111111111,0.0025,0.00556
25,120000,RENT,2.0,VENTURE,32000,6.62,0,0.27,N,2,18-30,very large,high-middle,0.26666666666666666,6.25e-05,0.000206875
26,95000,RENT,7.0,HOMEIMPROVEMENT,31050,14.17,1,0.33,Y,3,18-30,very large,middle,0.3268421052631579,0.00022544283413848632,0.0004563607085346216
25,306000,RENT,2.0,DEBTCONSOLIDATION,24250,13.85,0,0.08,N,3,18-30,very large,high,0.07924836601307189,8.247422680412371e-05,0.0005711340206185567
26,300000,MORTGAGE,10.0,MEDICAL,7800,13.49,0,0.03,N,4,18-30,medium,high,0.026,0.001282051282051282,0.0017294871794871795
21,12000,OWN,5.0,EDUCATION,2500,7.51,1,0.21,N,4,18-30,small,low,0.20833333333333334,0.002,0.0030039999999999997
22,48000,RENT,1.0,EDUCATION,30000,18.39,1,0.63,N,2,18-30,very large,low-middle,0.625,3.3333333333333335e-05,0.000613
24,64000,RENT,8.0,DEBTCONSOLIDATION,30000,14.54,1,0.47,Y,3,18-30,very large,middle,0.46875,0.0002666666666666667,0.0004846666666666666
25,75000,RENT,4.0,HOMEIMPROVEMENT,30000,16.89,1,0.4,Y,4,18-30,very large,middle,0.4,0.00013333333333333334,0.000563
23,71500,RENT,3.0,DEBTCONSOLIDATION,30000,10.99,1,0.42,N,4,18-30,very large,middle,0.4195804195804196,0.0001,0.00036633333333333337
26,62050,RENT,6.0,MEDICAL,30000,17.99,1,0.41,N,2,18-30,very large,middle,0.48348106365834004,0.0002,0.0005996666666666666
